Formula,Eg (eV)
AgAu3,0
BaAg2,0
AgBr,2.52
CdAg,0
AgCl,5.13
DyAg,0
AgF,2.8
AgI,3.0247
InAg3,0
KAg2,0
LuAg2,0
AgN3,3.44
AgO,1.57
AgP15,1.47
Ag3Pd,0
AgPt3,0
Ag2S,1.23
ScAg,0
SmAg,0
SrAg,0
AgTe,0.85
V3Ag,0
YbAg2,0
Zn8Ag5,0
Zr3Ag,0
AlAs,0
AlB2,0
BaAl2,0
AlBi,0.4
Ce3Al,0
Al9Co2,0
Al4Cu9,0
Al6Fe,0
Hf4Al3,0
AlIr,0
LaAl4,0
LiAl3,0
Mg23Al30,0
Mn3Al10,0
AlN,5.9
AlNi2,0
AlP,3.62
Al21Pt8,0
Al5Rh2,0
Al2Ru,0
Al2S3,4.1
AlSb,1.666
Al2Se3,3.1
Sm3Al,0
AlSn,0
Sr8Al7,0
TaAl3,0
Al3Tc,0
Al2Te3,2.2
ThAl3,0
TiAl,0
UAl3,0
Al10V,0
YbAl3,0
Zr3Al2,0
AsAu3,0
B6As,1.51
AsBr3,2.6
Cd3As2,0.24
CoAs3,0.4
CrAs,0
Cs3As,0.6
DyAs,1
Eu3As2,0.6
Fe12As5,0
GaAs,1.46
GdAs,0.63
GeAs2,1.1
HfAs2,0
Hg3As,0
AsI3,2.29
InAs,0.425
As2Ir,1
Mg3As2,2.2
MnAs,0
Mo5As4,0
NdAs,1.04
As2O3,4
As2Os,0.92
AsP,0.23
PrAs,1
As2Pt,0.55
Re3As7,0
As2Rh,1.15
As2Ru,0.8
As2S3,1.89
SbAs,1.6
As2Se3,1.84
SiAs,1.57
SmAs,1.03
Sn3As2,0.47
TaAs,0
Te3As2,1.76
TmAs,1.18
YAs,0
YbAs,1.02
ZnAs2,0.91
BaAu2,0
Ca3Au4,0
CsAu,2.3
Ho2Au,0
InAu3,0
LuAu,0
NdAu3,0
PrAu,0
Au3S,0
SiAu3,0
SmAu3,0
Te2Au,0
TmAu,0
UAu2,0
Yb5Au4,0
ZrAu4,0
BaB6,2.64
B4C,1.64
CaB6,4.5
DyB6,3.3
ErB6,3.5
Fe3B,0
GdB6,3.6
HfB,0
HoB4,0
LaB6,4.1
LiB3,2
BMo,0
NaB15,0.32
Nb3B2,0
NdB6,4.9
Ni23B6,0
B2O3,4.9
BP,4.2
PrB4,0
BRh2,0
BSb,2.6
SiB3,2
SmB6,3.5
SnB,0
SrB6,3.68
Ta3B4,0
TcB,0
Ti2B,0
VB2,0
B4W,0
YB66,0.8
YbB66,1.27
ZrB2,0
Ba5Bi3,0
BaF2,9.1
BaGe2,1
BaLi4,0
Ba3N2,0
BaO,4.8
BaPt5,0
BaS,3.88
Ba5Sb3,0
BaSe,3.58
BaSi,0
BaSn3,0
BaTe,3.4
BaTh3,0
BaTl3,0
BaZn5,0
BeCu,0
Be3N2,3.8
BeO,10.39
BePd2,0
Be12Pt,0
Be22Re,0
BeS,4.17
Be3Sb2,0.67
ScBe5,0
BeSe,4
TaBe2,0
TbBe13,0
BeTe,2.89
Ti2Be17,0
Be2W,0
BiBr3,2.66
Ca11Bi10,0
Cd3Bi2,0.2
Ce4Bi3,0
Cs3Bi,0.55
Er5Bi3,0
EuBi3,0
GaBi,0.1
BiI3,1.8
KBi2,0
Li3Bi,0.7
Mg3Bi2,0
NaBi3,0
Nb3Bi,0
NdBi,0
Bi2O3,2.86
BiPd,0
Bi2Pt,0
RbBi2,0
Bi2S3,1.25
Bi1Sb0.15,0.022
Sc5Bi3,0
Bi2Se3,0.4
Sr5Bi3,0
Bi2Te3,0.25
ThBi2,0
U3Bi4,0
YBi,0
CBr4,3.7
CdBr2,4.47
CsBr,7.18
CuBr,3.077
HgBr2,3.59
KBr,7.6
LiBr,7.5
NaBr,7.025
PbBr2,3.31
RbBr,7.65
Sm6Br13,0
SnBr2,3.5
TiBr2,0
TlBr,2.6444
Cr7C3,0
Dy2C,0
Er2C3,0
HfC,0
Hg3C,0
Ho4C7,0
CI4,2.26
KC60,0
Li3C,0
Lu4C7,0
NaC,0
RbC8,0
Sc3C4,0
SmC10,0
Tb2C3,0
TiC,0
W2C,0
Y4C7,0
ZrC,0.6
CaCu5,0
CaF2,9.92
Ca11Ga7,0
Ca2Ge,1
CaHg2,0
CaI2,5.98
Ca3In,0
Ca5Ir,0
Ca3N2,1.55
CaNi5,0
CaO,6.971
CaPb,0
CaS,6
Ca5Sb3,0
CaSe,4.87
Ca2Si,1.9
Ca2Sn,0.9
CaTe,4.3
CaZn2,0
CdCl2,5.7
DyCd2,0
EuCd11,0
CdF2,6
GdCd2,0
HoCd,0
CdI2,3.8
CdIn,0.6
LaCd2,0
CdO,2.3
CdP2,2.134
CdPd,0
PmCd3,0
PrCd,0
CdPt,0
RbCd13,0
CdS,2.501
CdSb,0.57
ScCd,1.714
CdSe,1.751
SrCd,0
CdTe,1.5
Ti2Cd,0
Zn3Cd,0
ZrCd,0
CeF3,4.85
Ce2Fe17,0
Ce5Ge3,0
CeHg,0
CeIr5,0
CeLu3,0
CeN,0.7
CeO2,3.41
CeOs2,0
Ce3Pd5,0
CeRh,0
Ce2S3,1.12
Ce2Sb,0
Ce2Se3,1.75
Ce5Si3,0
Ce2Te3,1.4
CeTl3,0
CsCl,7.8
CuCl,3.237
HgCl2,4.45
ICl2,0
KCl,8.5
LiCl,9.33
NaCl,8.5
PbCl2,3.82
RbCl,8.5
ReCl4,0
RuCl3,0
SnCl2,3.9
TbCl,0
TlCl,3.56
WCl3,0
Dy12Co7,0
Fe9Co7,0
CoGe,0
Co3H,0
HoCo3,0
In2Co,0
Mg2Co,0.66
Co7Mo6,0
CoN,0
Nb6Co7,0
Co2O3,0
CoP2,0.35
CoSb3,0.5
Co3Se4,0
SmCo2,0
TbCo2,0
Co1Te1.88,0.2
U6Co,0
VCo,0
Co3W,0
YCo2,0
MgCr,0
Cr3N2,0
CrNi3,0
Cr2O3,3.4
Cr3P,0
Cr2S3,0.9
CrSb2,0.16
Cr3Se4,1.59
CrSi2,1.3
CrTe2,0.17
Tl3Cr,0
CsF,10
CsGa7,0
CsI,6.4
CsIr,0
CsMg149,0
CsSb,0.8
CsSn3,0
Cs2Te,3.5
ErCu,0
CuF,0
Cu7Hg6,0
CuI,3.1
LaCu6,0
Mg2Cu,0
MnCu3,0
CuN3,4.17
Cu9O13,0
CuP2,1.4
CuPd,0
Cu9S5,0
Cu2Sb,0
ScCu2,0
Cu25Se26,0
Cu15Si4,0
TbCu5,0
Cu2Te,1.08
V3Cu,0
Zn3Cu,0
Dy3Ga,0
DyGe,0
DyIr2,0
Li3Dy,0
DyMn2,0
DyN,2.6
Dy2O3,5
Dy5Pb3,0
PmDy3,0
DyRh,0
Dy2S3,3
Dy4Sb3,0
Dy5Sn3,0
Dy2Te3,0.69
ErHg2,0
ErLu3,0
ErMg2,0
ErN,3
Er2O3,5.42
ErRu3,0
Er2Se3,1.66
Er5Si3,0
Er2Te3,0.9
ErZn12,0
EuF3,0
EuH2,1.85
EuN,1.25
Eu2O3,4.5
Eu3P2,1.2
EuPd,0
EuS,1.65
EuSe,3.1
EuSn3,0
EuTe,2.062
EuTl,0
EuZn,0
KF,10.3
LaF3,6.6
LiF,11.7
MgF2,11.1
MnF2,9.9
NaF,10.5
NdF3,6.15
PrF3,5.9
RbF,10.4
ReF6,0
TaF3,0
GaFe3,0
HfFe2,0
FeI2,5.15
Fe3N,0
Fe2O3,2.2
FeP,0
FePd3,0
Fe2S,0
Sc2Fe,0.77
FeSi2,0.9
Sm2Fe17,0
FeSn,0
Fe2Te3,0.34
Th2Fe7,0
TiFe2,0
Y3Fe29,0
LaGa,0
Li2Ga,0
Lu3Ga,0
Mg2Ga,0
GaN,3.25
Nb5Ga4,0
Ga2O3,4.4
GaP,2.77
Ga5Pd13,0
Ga3Pt2,0
Rb3Ga,0
Ga9Rh2,0
Ga2S3,2.85
GaSb,0.822
ScGa2,0
GaSe,2
TbGa,0
GaTc,1.42
GaTe,1.797
UGa2,0
GdN,1.54
Gd2O3,5.3
Gd2S3,2.55
GdSb,0
Gd2Se3,2.2
Gd2Te3,0.74
GdZn,0
Hf2Ge,0
HoGe,0
GeI2,1.5
LuGe2,0
Mg2Ge,1.67
Mn5Ge2,0
Nb5Ge3,0
Nd5Ge4,0
NiGe,0
GeO2,5.54
Ge2Os,0
GeP,0.95
PrGe3,0
GePt2,0
RbGe3,0
GeRh,0
Ge3Ru2,0.34
GeS2,3.71
Ge3Sb,0
ScGe2,0
GeSe2,2.38
Si0.7Ge0.3,1
SnGe,0.4
SrGe2,0.9
Tb3Ge5,0
GeTe2,0.3
TmGe,0
U5Ge3,0
Y3Ge4,0
ZrGe2,0
LaH2,0
H2Se,0
TbH2,0
TmH2,0
YH2,0
Hf2Hg,0
HfNi5,0
HfO2,5.55
HfOs2,0
Hf7P4,0
Hf5Pb,0
HfPt,0
HfS2,2.9
Hf5Sb3,0
HfSe2,2.2
HfSi,0
Hf5Sn4,0
HfTc,0
Hf5Te4,0
Hf2Tl,0
Ho3Hg,0
HgI,2.37
KHg2,0
LaHg,0
Mn2Hg5,0
NaHg,0
HgO,2.214
HgPt3,0
Rb15Hg16,0
Hg2Rh,0
HgS,2.1
Hg3Sb,0
ScHg,0.24
HgSe,0.07
SiHg3,0
SmHg3,0
TbHg2,0
HgTe,0.175
ThHg2,0
YHg2,0
Zr3Hg,0
HoMg2,0
HoMn12,0
HoN,1.9
Ho2O3,5.42
Ho3P,0
Ho3Pd2,0
Ho2S3,0.5
HoSb2,0
HoSi,0
HoTh3,0
KI,6.31
LiI,5.62
MnI2,4.4
NaI,5.8
NiI,0
PbI2,2.36
Pm3I,0
Pr3I,0
RbI,6.26
SbI3,2.5
SnI2,2.4
TeI4,1.1
TiI,0
ZnI2,4.53
LaIn,0
MgIn3,0
InN,2.1
Na2In,0
Nb3In,0
NdIn3,0
In2O3,2.8
InP,1.5
In3Pd5,0
PrIn,0
In2Pt,0
RbIn4,0
In2S3,2
InSb,0.22
In2Se3,1.2
Sm2In,0
SrIn2,0
In4Te3,0.55
Th2In,0
TmIn3,0
LuIr,0
P2Ir,1
IrPb,0
PrIr2,0
ReIr3,0
IrS2,0.9
ScIr,0
IrSe2,0.9
ThIr5,0
Tl3Ir,0
VIr,0
YbIr2,0
ZrIr2,0
KLu,0
K2S,2.1
KSb,0.9
K2Se,1.8
K3Sn,0
K2Te,1.9
KTm,0
K3V,0
LaMg3,0
La2O3,5.4
LaP,0.54
LaPt5,0
La2Rh7,0
La2S3,2.77
LaSb,0.8
La2Se3,1.97
LaSi,0
LaTb3,0
La3Te4,0.43
LaV,0
NaLi3,0
Li2Sn5,0
Lu2O3,5.5
LuP,1.3
LuPt3,0
Mg3N2,2.8
NdMg2,0
MgO,7.777
Mg3P2,1.4
Mg2Pb,0.15
MgPt5,0
Mg3Rh,0
Mg3Ru2,0
Mg3Sb2,0.82
MgSc,0
MgSe,5.63
Mg2Si,2.27
SmMg3,0
Mg2Sn,0.32
MgTe,3.6
Th6Mg23,0
MgTl,0
MgZn2,0
Mn2Nb,0
MnNi,0
MnO,3.6
Mn2P,0
Rb3Mn,0
MnS,0
MnSe,2.5
MnSi,0.6
MnTe,1.35
Mo5O14,0
PrMo3,0
MoSe2,1.6
Te2Mo,1.2
ZrMo3,0
NiN,0
PbN6,3.02
Pd2N,0
PtN,0
ScN,2.6
Si3N4,5.1
SrN2,0
TaN,2.3
TlN3,3.58
U4N7,0
W2N,0
YN,1.9
Zn3N2,0
Na3Re,0
Na2S,2.4
Na3Sb,1.1
Na2Se,2
NaSn2,0
NaTa3,0
Na2Te,2.3
NaTl,0
Nb2O5,3.08
Nb3Os,0
NbPt2,0
Nb3Ru,0
Nb2Sb,0
NbSe2,1.4
NbSi2,0
Nb3Te,0
U3Nb,0
Nd2O3,4.4
NdPt,0
NdRh,0
Nd2S3,2.65
NdSb,0
Nd2Se3,1.75
NdSn2,0
Nd2Te3,1.12
YbNd3,0
Nd3Zr,0
NiO,4
NiP2,0.3
Ni3Pt,0
Ni3S4,0
TbNi5,0
NiTe,0.23
TlNi,0
VNi2,0
P2O5,0
Pb3O4,2.12
PdO,0.8
PrO,0.55
Rb6O,0
ReO3,2.3
Sb2O3,3.31
Sc2O3,6.2
Sm2O3,5
SnO2,3.597
SrO,5.77
Ta2O5,4.2
Tb2O3,3
TeO2,3
ThO2,3.5
TiO2,3.3
Tl2O3,2.25
Tm2O3,4.53
UO2,2.18
VO2,0.12
WO3,2.9
Y2O3,5.6
Yb2O3,5.22
ZnO,3.436
ZrO2,4.99
P2Os,1.13
OsS2,2
Sb2Os,0.21
Te2Os,0.3
TiOs3,0
P2Pd,0.65
PrP,0
P2Pt,0.8
Re3P4,0
P2Rh,1
P2Ru,1
PSe,2.5
SiP,2
SmP,1.09
Ta3P,0
TbP,0
V12P7,0
Zn3P2,1.15
Zr7P4,0
PdPb2,0
Pt3Pb,0
Rh3Pb,0
PbS,0.41
Sc5Pb3,0
PbSe,0.165
SrPb3,0
TePb,0.22
Tl3Pb,0
PdS2,0.75
SbPd3,0
PdSe,0.2
Si2Pd9,0
Sn3Pd,0
TaPd3,0
Tc3Pd,0
TePd,0
ThPd3,0
TiPd,0
TmPd,0
ZrPd3,0
Pr2S3,2.68
PrSb,0.66
Pr2Se3,1.8
Pr5Si4,0
PrSm3,0
Pr2Te3,1.3
PrZn,0
PtS2,0.75
Sb2Pt,0.08
PtSe2,0.1
TaPt3,0
TbPt,0
Ti3Pt5,0
UPt3,0
VPt2,0
Rb3Sb,1
Rb3Sm,0
Rb2Te,4.5
Rb3Tm,0
ReS2,1
ReSe2,1.15
ReSi2,0.12
ReSn3,0
V3Re,0
ZrRe2,0
Rh2S3,0.8
SbRh3,0
ScRh,0
RhSe2,0.6
SnRh,0
TaRh3,0
TbRh2,0
ThRh2,0
YbRh2,0
ZrRh,0
RuS2,1.8
Sb2Ru,0.3
RuSe2,1
Si3Ru2,0.7
Te2Ru,0.25
Sb2S3,1.7
Sc2S3,2
SeS,1.9
Sm2S3,2.96
SnS2,2.43
SrS,4.8
Tb11S16,0
TcS2,1
ThS,0
Ti13S24,0
Tl2S,1
U4S3,0
Y2S3,2.9
YbS,0.98
ZnS,3.69
ZrS2,2.75
Sb2Se3,1.2
SiSb,1.9
SmSb,0.59
Sr3Sb2,0
TbSb2,0
Sb2Te3,0.19
TmSb,0
VSb,0
Yb4Sb3,0
ZnSb,1.11
ZrSb,0
Sm2Sc3,2.3
Sc8Te3,0
ScZn2,0
SiSe2,1.74
Sm2Se3,2.3
SnSe,1.2
SrSe,4.42
TbSe2,0
TcSe2,0.88
TeSe,1.58
Th2Se5,0.37
TiSe,0
TlSe,0.56
U3Se4,0
WSe2,1.35
YbSe,1.5
ZnSe,2.794
ZrSe,0
SiSn,0.59
Tb3Si,0
Si2Te3,2.03
ThSi,0
Tl3Si,0
USi3,0
V3Si,0
SiW3,0
YSi2,0
ZrSi2,0
Sm2Te3,0.7
SmTh3,0
Sm2Tl,0
Sm3Zr,0
Sr5Sn3,0
SnTe,0.3
TlSn,0
YSn3,0
Yb2Sn,0
ZnSn3,0
Zr5Sn4,0
SrTe,3.73
SrTl2,0
TaW3,0
TbTe,0
TbTl,0
TbZn2,0
VTc,0
Yb3Tc,0
ZnTc,2.37
TiTe2,1
Tl5Te3,0
VTe2,0
YbTe,1.8
ZnTe,2.176
ZrTe,0
U2Ti,0
TiZn3,0
TmTl,0
Y3Tm,0
U2Zn17,0
Yb3V,0
ZrW2,0
YZn5,0
